Start time:2024-01-06 07:38:37.510762
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
action_before_training:[ 2 20 48  1 49 36  1  2  6 58  1  0 16 72  1], Observation:[ 800.        269.10562   388.23218    20.1994     37.696304 2048.
 1273.7114     41.91983     7.67044     4.      ]
----------------------------------
| rollout/           |           |
| train/                  |            |
|    approx_kl            | 0.03266623 |
|    clip_fraction        | 0.374      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.4      |
|    explained_variance   | 2.98e-07   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.28e+05   |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.037     |
|    value_loss           | 4.65e+05   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2         |
|    ep_rew_mean          | 85.6      |
| time/                   |           |
|    fps                  | 206       |
|    iterations           | 14        |
|    time_elapsed         | 138       |
|    total_timesteps      | 28644     |
| train/                  |           |
|    approx_kl            | 0.0745164 |
|    clip_fraction        | 0.47      |
|    clip_range           | 0.2       |
|    entropy_loss         | -44.3     |
|    explained_variance   | -8.34e-07 |
|    learning_rate        | 0.0003    |
|    loss                 | 2.7e+04   |
|    n_updates            | 130       |
|    policy_gradient_loss | -0.0216   |
|    value_loss           | 1.37e+07  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | -20        |
| time/                   |            |
|    fps                  | 206        |
|    iterations           | 15         |
|    time_elapsed         | 148        |
|    total_timesteps      | 30690      |
| train/                  |            |
|    approx_kl            | 0.11565451 |
|    clip_fraction        | 0.533      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.3      |
|    explained_variance   | -6.32e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 2.14e+04   |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.0221    |
|    value_loss           | 2.78e+05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 95.2       |
| time/                   |            |
|    fps                  | 206        |
|    iterations           | 16         |
|    time_elapsed         | 158        |
|    total_timesteps      | 32736      |
| train/                  |            |
|    approx_kl            | 0.06576575 |
|    clip_fraction        | 0.426      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.3      |
|    explained_variance   | 0.00141    |
|    learning_rate        | 0.0003     |
|    loss                 | 1.24e+04   |
|    n_updates            | 150        |
|    policy_gradient_loss | -0.0354    |
|    value_loss           | 3.5e+05    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 111        |
| time/                   |            |
|    fps                  | 205        |
|    iterations           | 17         |
|    time_elapsed         | 169        |
|    total_timesteps      | 34782      |
| train/                  |            |
|    approx_kl            | 0.14287299 |
|    clip_fraction        | 0.407      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.4      |
|    explained_variance   | -6.18e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 4.34e+04   |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0244    |
|    value_loss           | 1.33e+05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 62.9       |
| time/                   |            |
|    fps                  | 205        |
|    iterations           | 18         |
|    time_elapsed         | 179        |
|    total_timesteps      | 36828      |
| train/                  |            |
|    approx_kl            | 0.16740023 |
|    clip_fraction        | 0.561      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.3      |
|    explained_variance   | -9.37e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 6.11e+03   |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.0144    |
|    value_loss           | 1.22e+05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 51.1        |
| time/                   |             |
|    fps                  | 205         |
|    iterations           | 19          |
|    time_elapsed         | 189         |
|    total_timesteps      | 38874       |
| train/                  |             |
|    approx_kl            | 0.061811265 |
|    clip_fraction        | 0.361       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44.3       |
|    explained_variance   | 1.14e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.38e+05    |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0432     |
|    value_loss           | 1.86e+05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 76.1       |
| time/                   |            |
|    fps                  | 205        |
|    iterations           | 20         |
|    time_elapsed         | 199        |
|    total_timesteps      | 40920      |
| train/                  |            |
|    approx_kl            | 0.15545937 |
|    clip_fraction        | 0.629      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.2      |
|    explained_variance   | -4.92e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 3.33e+04   |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.0152    |
|    value_loss           | 1.44e+05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 89.1        |
| time/                   |             |
|    fps                  | 205         |
|    iterations           | 21          |
|    time_elapsed         | 209         |
|    total_timesteps      | 42966       |
| train/                  |             |
|    approx_kl            | 0.034381554 |
|    clip_fraction        | 0.376       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44.3       |
|    explained_variance   | 1.29e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.26e+05    |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0435     |
|    value_loss           | 7.19e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 103         |
| time/                   |             |
|    fps                  | 204         |
|    iterations           | 22          |
|    time_elapsed         | 219         |
|    total_timesteps      | 45012       |
| train/                  |             |
|    approx_kl            | 0.036911543 |
|    clip_fraction        | 0.334       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44.2       |
|    explained_variance   | -7.08e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 6.8e+04     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0458     |
|    value_loss           | 1.14e+05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 131        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 23         |
|    time_elapsed         | 229        |
|    total_timesteps      | 47058      |
| train/                  |            |
|    approx_kl            | 0.06918058 |
|    clip_fraction        | 0.334      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.2      |
|    explained_variance   | -2.5e-06   |
|    learning_rate        | 0.0003     |
|    loss                 | 7.02e+03   |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.036     |
|    value_loss           | 1.46e+05   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 134        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 24         |
|    time_elapsed         | 239        |
|    total_timesteps      | 49104      |
| train/                  |            |
|    approx_kl            | 0.04744213 |
|    clip_fraction        | 0.452      |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.1      |
|    explained_variance   | -2.26e-06  |
|    learning_rate        | 0.0003     |
|    loss                 | 2.04e+04   |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.032     |
|    value_loss           | 2.44e+05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 174         |
| time/                   |             |
|    fps                  | 204         |
|    iterations           | 25          |
|    time_elapsed         | 250         |
|    total_timesteps      | 51150       |
| train/                  |             |
|    approx_kl            | 0.112993926 |
|    clip_fraction        | 0.487       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44.1       |
|    explained_variance   | 7.45e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.33e+04    |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0204     |
|    value_loss           | 2.48e+05    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 148        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 26         |
|    time_elapsed         | 260        |
|    total_timesteps      | 53196      |
| train/                  |            |
|    approx_kl            | 0.14013755 |
|    clip_fraction        | 0.46       |
|    clip_range           | 0.2        |
|    entropy_loss         | -44.1      |
|    explained_variance   | -8.94e-06  |
|    learning_rate        | 0.0003     |
|    loss                 | 9.29e+03   |
|    n_updates            | 250        |
|    policy_gradient_loss | -0.0233    |
|    value_loss           | 6.62e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 94.4        |
| time/                   |             |
|    fps                  | 204         |
|    iterations           | 27          |
|    time_elapsed         | 270         |
|    total_timesteps      | 55242       |
| train/                  |             |
|    approx_kl            | 0.031732846 |
|    clip_fraction        | 0.345       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44         |
|    explained_variance   | 0.000449    |
|    learning_rate        | 0.0003      |
|    loss                 | 7.13e+03    |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0433     |
|    value_loss           | 4.85e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 152         |
| time/                   |             |
|    fps                  | 204         |
|    iterations           | 28          |
|    time_elapsed         | 280         |
|    total_timesteps      | 57288       |
| train/                  |             |
|    approx_kl            | 0.072424576 |
|    clip_fraction        | 0.414       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44         |
|    explained_variance   | 2.74e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 6.89e+03    |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0315     |
|    value_loss           | 3.26e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 121        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 29         |
|    time_elapsed         | 290        |
|    total_timesteps      | 59334      |
| train/                  |            |
|    approx_kl            | 0.10707618 |
|    clip_fraction        | 0.539      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.9      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 7.19e+03   |
|    n_updates            | 280        |
|    policy_gradient_loss | -0.0124    |
|    value_loss           | 2.37e+04   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2         |
|    ep_rew_mean          | 142       |
| time/                   |           |
|    fps                  | 204       |
|    iterations           | 30        |
|    time_elapsed         | 300       |
|    total_timesteps      | 61380     |
| train/                  |           |
|    approx_kl            | 0.2341784 |
|    clip_fraction        | 0.617     |
|    clip_range           | 0.2       |
|    entropy_loss         | -43.9     |
|    explained_variance   | -2.38e-07 |
|    learning_rate        | 0.0003    |
|    loss                 | 7.71e+04  |
|    n_updates            | 290       |
|    policy_gradient_loss | 7.52e-05  |
|    value_loss           | 1.34e+05  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 174        |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 31         |
|    time_elapsed         | 310        |
|    total_timesteps      | 63426      |
| train/                  |            |
|    approx_kl            | 0.04008342 |
|    clip_fraction        | 0.291      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.9      |
|    explained_variance   | 5.96e-08   |
|    learning_rate        | 0.0003     |
|    loss                 | 4.88e+03   |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0415    |
|    value_loss           | 2.92e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 157        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 32         |
|    time_elapsed         | 321        |
|    total_timesteps      | 65472      |
| train/                  |            |
|    approx_kl            | 0.08007242 |
|    clip_fraction        | 0.444      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.9      |
|    explained_variance   | 2.68e-06   |
|    learning_rate        | 0.0003     |
|    loss                 | 5.35e+03   |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.0383    |
|    value_loss           | 3.15e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 164        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 33         |
|    time_elapsed         | 331        |
|    total_timesteps      | 67518      |
| train/                  |            |
|    approx_kl            | 0.06757119 |
|    clip_fraction        | 0.513      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.9      |
|    explained_variance   | -0.000128  |
|    learning_rate        | 0.0003     |
|    loss                 | 9.97e+03   |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.0374    |
|    value_loss           | 7.82e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 161         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 34          |
|    time_elapsed         | 341         |
|    total_timesteps      | 69564       |
| train/                  |             |
|    approx_kl            | 0.026642578 |
|    clip_fraction        | 0.306       |
|    clip_range           | 0.2         |
|    entropy_loss         | -44         |
|    explained_variance   | 1.67e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.27e+04    |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0531     |
|    value_loss           | 4.52e+04    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 198         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 35          |
|    time_elapsed         | 351         |
|    total_timesteps      | 71610       |
| train/                  |             |
|    approx_kl            | 0.037208393 |
|    clip_fraction        | 0.383       |
|    clip_range           | 0.2         |
|    entropy_loss         | -43.9       |
|    explained_variance   | 5.36e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.3e+03     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0492     |
|    value_loss           | 1.97e+04    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2         |
|    ep_rew_mean          | 169       |
| time/                   |           |
|    fps                  | 203       |
|    iterations           | 36        |
|    time_elapsed         | 361       |
|    total_timesteps      | 73656     |
| train/                  |           |
|    approx_kl            | 0.0863844 |
|    clip_fraction        | 0.499     |
|    clip_range           | 0.2       |
|    entropy_loss         | -43.9     |
|    explained_variance   | 7.25e-05  |
|    learning_rate        | 0.0003    |
|    loss                 | 7.41e+03  |
|    n_updates            | 350       |
|    policy_gradient_loss | -0.0331   |
|    value_loss           | 5.8e+04   |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 181        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 37         |
|    time_elapsed         | 371        |
|    total_timesteps      | 75702      |
| train/                  |            |
|    approx_kl            | 0.08619435 |
|    clip_fraction        | 0.638      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.8      |
|    explained_variance   | 5.96e-07   |
|    learning_rate        | 0.0003     |
|    loss                 | 6.55e+03   |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0142    |
|    value_loss           | 1.95e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 171        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 38         |
|    time_elapsed         | 381        |
|    total_timesteps      | 77748      |
| train/                  |            |
|    approx_kl            | 0.05500153 |
|    clip_fraction        | 0.499      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.9      |
|    explained_variance   | 1.25e-05   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.04e+04   |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.0259    |
|    value_loss           | 3.51e+04   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 2         |
|    ep_rew_mean          | 195       |
| time/                   |           |
|    fps                  | 203       |
|    iterations           | 39        |
|    time_elapsed         | 391       |
|    total_timesteps      | 79794     |
| train/                  |           |
|    approx_kl            | 0.1320675 |
|    clip_fraction        | 0.605     |
|    clip_range           | 0.2       |
|    entropy_loss         | -43.8     |
|    explained_variance   | 2.55e-05  |
|    learning_rate        | 0.0003    |
|    loss                 | 4.98e+03  |
|    n_updates            | 380       |
|    policy_gradient_loss | -0.0113   |
|    value_loss           | 5.38e+04  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 171         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 40          |
|    time_elapsed         | 401         |
|    total_timesteps      | 81840       |
| train/                  |             |
|    approx_kl            | 0.087525725 |
|    clip_fraction        | 0.536       |
|    clip_range           | 0.2         |
|    entropy_loss         | -43.8       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 5.24e+03    |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0312     |
|    value_loss           | 2.05e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 184        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 41         |
|    time_elapsed         | 412        |
|    total_timesteps      | 83886      |
| train/                  |            |
|    approx_kl            | 0.05627702 |
|    clip_fraction        | 0.447      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.8      |
|    explained_variance   | 1.26e-05   |
|    learning_rate        | 0.0003     |
|    loss                 | 4.29e+03   |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.0422    |
|    value_loss           | 4.66e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 213        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 42         |
|    time_elapsed         | 422        |
|    total_timesteps      | 85932      |
| train/                  |            |
|    approx_kl            | 0.08778506 |
|    clip_fraction        | 0.539      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.8      |
|    explained_variance   | 3.5e-05    |
|    learning_rate        | 0.0003     |
|    loss                 | 5e+03      |
|    n_updates            | 410        |
|    policy_gradient_loss | -0.0381    |
|    value_loss           | 3.83e+04   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 220        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 43         |
|    time_elapsed         | 432        |
|    total_timesteps      | 87978      |
| train/                  |            |
|    approx_kl            | 0.08930092 |
|    clip_fraction        | 0.477      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.7      |
|    explained_variance   | 7.47e-05   |
|    learning_rate        | 0.0003     |
|    loss                 | 4.12e+03   |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.0341    |
|    value_loss           | 2.64e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 188         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 44          |
|    time_elapsed         | 442         |
|    total_timesteps      | 90024       |
| train/                  |             |
|    approx_kl            | 0.056691684 |
|    clip_fraction        | 0.441       |
|    clip_range           | 0.2         |
|    entropy_loss         | -43.7       |
|    explained_variance   | 1.1e-05     |
|    learning_rate        | 0.0003      |
|    loss                 | 9.14e+03    |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0295     |
|    value_loss           | 6.93e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 2          |
|    ep_rew_mean          | 222        |
| time/                   |            |
|    fps                  | 203        |
|    iterations           | 45         |
|    time_elapsed         | 452        |
|    total_timesteps      | 92070      |
| train/                  |            |
|    approx_kl            | 0.06755522 |
|    clip_fraction        | 0.507      |
|    clip_range           | 0.2        |
|    entropy_loss         | -43.6      |
|    explained_variance   | 2.48e-05   |
|    learning_rate        | 0.0003     |
|    loss                 | 4.65e+03   |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.0201    |
|    value_loss           | 5.65e+04   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2           |
|    ep_rew_mean          | 186         |
| time/                   |             |
|    fps                  | 203         |
|    iterations           | 46          |
|    time_elapsed         | 462         |
|    total_timesteps      | 94116       |
| train/                  |             |
|    approx_kl            | 0.017504053 |
|    clip_fraction        | 0.21        |
